timestamp,syscall,direction,pid,ppid,uid,auid,comm,exe
09:59:33.465850633,rename,<,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:59:36.305613957,unlink,>,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:59:36.305624090,unlink,<,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:59:36.308407947,rename,>,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:59:36.308550188,rename,<,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:59:36.310833978,rename,>,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:59:36.310888784,rename,<,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:59:36.311808560,clone,>,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:59:36.327964094,clone,<,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:59:36.328374808,clone,<,6699,3268,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:59:36.329046900,execve,>,6699,3268,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:59:36.330031419,execve,<,6699,3268,1000,1000,tracker-extract,/usr/libexec/tracker-extract-3
09:59:36.342803771,socket,<,6699,3268,1000,1000,tracker-extract,/usr/libexec/tracker-extract-3
09:59:36.343355755,socket,<,6699,3268,1000,1000,tracker-extract,/usr/libexec/tracker-extract-3
09:59:36.403239591,socket,<,6699,3268,1000,1000,tracker-extract,/usr/libexec/tracker-extract-3
09:59:36.403241296,socket,<,6699,3268,1000,1000,tracker-extract,/usr/libexec/tracker-extract-3
